Title;Year
HYBRID ATTENTION-ORIENTED EXPERIENCE REPLAY FOR DEEP REINFORCEMENT LEARNING AND ITS APPLICATION TO A MULTI-ROBOT COOPERATIVE HUNTING PROBLEM;2023
A DESIGN METHODOLOGY FOR DEEP REINFORCEMENT LEARNING IN AUTONOMOUS SYSTEMS;2020
A MULTI-ROBOT PATH-PLANNING ALGORITHM FOR AUTONOMOUS NAVIGATION USING META-REINFORCEMENT LEARNING BASED ON TRANSFER LEARNING;2021
THE AUTONOMOUS NAVIGATION AND OBSTACLE AVOIDANCE FOR USVS WITH ANOA DEEP REINFORCEMENT LEARNING METHOD;2020
SIMULATING TRAVEL PATHS OF CONSTRUCTION SITE WORKERS VIA DEEP REINFORCEMENT LEARNING CONSIDERING THEIR SPATIAL COGNITION AND WAYFINDING BEHAVIOR;2023
DYNAMIC PATH PLANNING FOR MOBILE ROBOTS WITH DEEP REINFORCEMENT LEARNING;2022
MULTIMODAL FUSION FOR AUTONOMOUS NAVIGATION VIA DEEP REINFORCEMENT LEARNING WITH SPARSE REWARDS AND HINDSIGHT EXPERIENCE REPLAY;2023
DEEP REINFORCEMENT LEARNING IN SMART MANUFACTURING: A REVIEW AND PROSPECTS;2023
AN ADAPTIVE DEEP REINFORCEMENT LEARNING APPROACH FOR MIMO PID CONTROL OF MOBILE ROBOTS;2020
A DEEP REINFORCEMENT LEARNING-BASED MULTI-AGENT AREA COVERAGE CONTROL FOR SMART AGRICULTURE;2022
ITD3-CLN: LEARN TO NAVIGATE IN DYNAMIC SCENE THROUGH DEEP REINFORCEMENT LEARNING;2022
REAL-TIME OBJECT NAVIGATION WITH DEEP NEURAL NETWORKS AND HIERARCHICAL REINFORCEMENT LEARNING;2020
DEEP-REINFORCEMENT-LEARNING-BASED SEMANTIC NAVIGATION OF MOBILE ROBOTS IN DYNAMIC ENVIRONMENTS;2020
MOBILE ROBOT NAVIGATION BASED ON DEEP REINFORCEMENT LEARNING;2019
NAVIGATION OF MOBILE ROBOTS BASED ON DEEP REINFORCEMENT LEARNING: REWARD FUNCTION OPTIMIZATION AND KNOWLEDGE TRANSFER;2023
END-TO-END NAVIGATION STRATEGY WITH DEEP REINFORCEMENT LEARNING FOR MOBILE ROBOTS;2019
INCREMENTAL LEARNING FOR AUTONOMOUS NAVIGATION OF MOBILE ROBOTS BASED ON DEEP REINFORCEMENT LEARNING;2021
VIRTUAL-TO-REAL DEEP REINFORCEMENT LEARNING: CONTINUOUS CONTROL OF MOBILE ROBOTS FOR MAPLESS NAVIGATION;2017
NEURAL NETWORKS BASED REINFORCEMENT LEARNING FOR MOBILE ROBOTS OBSTACLE AVOIDANCE;2016
DEEP REINFORCEMENT LEARNING BASED MOBILE ROBOT NAVIGATION: A REVIEW;2021
CURIOSITY-DRIVEN EXPLORATION FOR MAPLESS NAVIGATION WITH DEEP REINFORCEMENT LEARNING;2018
TOWARDS COGNITIVE EXPLORATION THROUGH DEEP REINFORCEMENT LEARNING FOR MOBILE ROBOTS;2016
MOTION PLANNING FOR MOBILE ROBOTS—FOCUSING ON DEEP REINFORCEMENT LEARNING: A SYSTEMATIC REVIEW;2021
DEEP DETERMINISTIC POLICY GRADIENT FOR NAVIGATION OF MOBILE ROBOTS IN SIMULATED ENVIRONMENTS;2019
A REINFORCEMENT LEARNING APPROACH TO OBSTACLE AVOIDANCE OF MOBILE ROBOTS;2002
LEARN TO NAVIGATE AUTONOMOUSLY THROUGH DEEP REINFORCEMENT LEARNING;2021
DETERMINISTIC AND STOCHASTIC ANALYSIS OF DEEP REINFORCEMENT LEARNING FOR LOW DIMENSIONAL SENSING-BASED NAVIGATION OF MOBILE ROBOTS;2022
EFFECTIVE REINFORCEMENT LEARNING FOR MOBILE ROBOTS;2002
AUTONOMOUS NAVIGATION FOR EXPLORATION OF UNKNOWN ENVIRONMENTS AND COLLISION AVOIDANCE IN MOBILE ROBOTS USING REINFORCEMENT LEARNING;2019
AN ADAPTIVE DEEP REINFORCEMENT LEARNING APPROACH FOR MIMO PID CONTROL OF MOBILE ROBOTS;2020
GREY SYSTEM BASED REACTIVE NAVIGATION OF MOBILE ROBOTS USING REINFORCEMENT LEARNING;2010
