"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"HTXUP9CA","journalArticle","2016","Tai, Lei; Liu, Ming","Towards cognitive exploration through deep reinforcement learning for mobile robots","arXiv preprint arXiv:1610.01733","","","","","","2016","2023-06-18 06:42:47","2023-06-18 06:42:47","","","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\emcom\Zotero\storage\XJRIIKL8\Tai and Liu - 2016 - Towards cognitive exploration through deep reinfor.pdf; C:\Users\emcom\Zotero\storage\T5VXJGPB\1610.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AJGE5EVY","journalArticle","2021","Sun, Huihui; Zhang, Weijie; Yu, Runxiang; Zhang, Yujie","Motion planning for mobile robots—Focusing on deep reinforcement learning: A systematic review","IEEE Access","","","","","","2021","2023-06-18 06:42:47","2023-06-18 06:42:47","","69061–69081","","","9","","","Motion planning for mobile robots—Focusing on deep reinforcement learning","","","","","","","","","","","","Google Scholar","","Publisher: IEEE","","C:\Users\emcom\Zotero\storage\JQLLMHZE\9419029.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LPK2M9K8","conferencePaper","2019","Jesus, Junior C.; Bottega, Jair A.; Cuadros, Marco ASL; Gamarra, Daniel FT","Deep deterministic policy gradient for navigation of mobile robots in simulated environments","2019 19th International Conference on Advanced Robotics (ICAR)","","","","","","2019","2023-06-18 06:42:47","2023-06-18 06:42:47","","362–367","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\emcom\Zotero\storage\Y7UEM447\8981638.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ASESX55X","conferencePaper","2002","Macek, Kristijan; PetroviC, Ivan; Peric, N.","A reinforcement learning approach to obstacle avoidance of mobile robots","7th International Workshop on Advanced Motion Control. Proceedings (Cat. No. 02TH8623)","","","","","","2002","2023-06-18 06:42:47","2023-06-18 06:42:47","","462–466","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\emcom\Zotero\storage\VM365GGM\Macek et al. - 2002 - A reinforcement learning approach to obstacle avoi.pdf; C:\Users\emcom\Zotero\storage\3R4H8EZR\1026964.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3S8TM9DF","journalArticle","2021","Wu, Keyu; Wang, Han; Esfahani, Mahdi Abolfazli; Yuan, Shenghai","Learn to navigate autonomously through deep reinforcement learning","IEEE Transactions on Industrial Electronics","","","","","","2021","2023-06-18 06:42:47","2023-06-18 06:42:47","","5342–5352","","5","69","","","","","","","","","","","","","","","Google Scholar","","Publisher: IEEE","","C:\Users\emcom\Zotero\storage\PJDDWSC7\9430693.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HNL3LAYP","conferencePaper","2022","Grando, Ricardo B.; de Jesus, Junior C.; Kich, Victor A.; Kolling, Alisson H.; Pinheiro, Pedro M.; Guerra, Rodrigo S.; Drews, Paulo LJ","Deterministic and Stochastic Analysis of Deep Reinforcement Learning for Low Dimensional Sensing-based Navigation of Mobile Robots","2022 Latin American Robotics Symposium (LARS), 2022 Brazilian Symposium on Robotics (SBR), and 2022 Workshop on Robotics in Education (WRE)","","","","","","2022","2023-06-18 06:42:47","2023-06-18 06:42:47","","193–198","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\emcom\Zotero\storage\I3ZF9ZJV\Grando et al. - 2022 - Deterministic and Stochastic Analysis of Deep Rein.pdf; C:\Users\emcom\Zotero\storage\QI7CSKXS\9995792.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E9V2SIMG","conferencePaper","2002","Smart, William D.; Kaelbling, L. Pack","Effective reinforcement learning for mobile robots","Proceedings 2002 IEEE International Conference on Robotics and Automation (Cat. No. 02CH37292)","","","","","","2002","2023-06-18 06:42:47","2023-06-18 06:42:47","","3404–3410","","","4","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\emcom\Zotero\storage\QVDD25AJ\Smart and Kaelbling - 2002 - Effective reinforcement learning for mobile robots.pdf; C:\Users\emcom\Zotero\storage\KEEWZFE8\1014237.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2NK2H5CM","conferencePaper","2019","Cardona, G. A.; Bravo, C.; Quesada, W.; Ruiz, D.; Obeng, M.; Wu, X.; Calderon, J. M.","Autonomous navigation for exploration of unknown environments and collision avoidance in mobile robots using reinforcement learning","2019 SoutheastCon","","","","","","2019","2023-06-18 06:42:47","2023-06-18 06:42:47","","1–7","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\emcom\Zotero\storage\IC82SUYE\Cardona et al. - 2019 - Autonomous navigation for exploration of unknown e.pdf; C:\Users\emcom\Zotero\storage\GMDBQW8D\9020521.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NUH9P3T5","journalArticle","2020","Carlucho, Ignacio; De Paula, Mariano; Acosta, Gerardo G.","An adaptive deep reinforcement learning approach for MIMO PID control of mobile robots","ISA transactions","","","","","","2020","2023-06-18 06:42:47","2023-06-18 06:42:47","","280–294","","","102","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\emcom\Zotero\storage\2F32QV76\S0019057820300781.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EL9MH7YL","journalArticle","2010","Chen, Chunlin; Dong, Daoyi","Grey system based reactive navigation of mobile robots using reinforcement learning","International Journal of Innovative Computing, Information and Control","","","","","","2010","2023-06-18 06:42:47","2023-06-18 06:42:47","","789–800","","2","6","","","","","","","","","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
