"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Goal-Oriented Navigation with Avoiding Obstacle based on Deep Reinforcement Learning in Continuous Action Space","P. X. Hien; G. -W. Kim","Department of Control and Robot Engineering, Chungbuk National University, South Korea; Department of Intelligent System and Robotics, Chungbuk National University, South Korea","2021 21st International Conference on Control, Automation and Systems (ICCAS)","28 Dec 2021","2021","","","8","11","Obstacle avoidance problems using Deep Reinforcement Learning (DRL) are becoming possible solutions for autonomous mobile robots. In real-world situations with stationary and moving obstacles, mobile robots must be able to navigate to a goal and safely avoid collisions. This work is an extension of ongoing research on the navigation approach for a mobile robot. We show that through the proposed DRL, a goal-oriented collision avoidance model can be trained end-to-end without manual turning or supervision by a human operator. We suggest performing the obstacle avoidance algorithm of the mobile robot in both simulated environments and continuous action space of the real world. Finally, we measure and evaluate the obstacle avoidance capability through data collection of hit ratio metrics during robot execution.","2642-3901","978-89-93215-21-2","10.23919/ICCAS52745.2021.9649898","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9649898","deep reinforcement learning;Q-learning;obstacle avoidance;robot sensing systems;path planning","Measurement;Navigation;Reinforcement learning;Aerospace electronics;Robot sensing systems;Turning;Sensors","collision avoidance;deep learning (artificial intelligence);mobile robots;navigation;reinforcement learning","goal-oriented navigation;continuous action space;DRL;autonomous mobile robots;navigation approach;goal-oriented collision avoidance model;obstacle avoidance algorithm;obstacle avoidance capability;robot execution;deep reinforcement learning;hit ratio metrics","","1","","15","","28 Dec 2021","","","IEEE","IEEE Conferences"
"Environment Exploration for Mapless Navigation based on Deep Reinforcement Learning","N. D. Toan; K. Gon-Woo","Department of Control and Robot Engineering, Chungbuk National University, Chungbuk, Korea; Department of Intelligent Systems and Robotics, Chungbuk National University, Chungbuk, Korea","2021 21st International Conference on Control, Automation and Systems (ICCAS)","28 Dec 2021","2021","","","17","20","In recent years, reinforcement learning has attracted researchers' attention with the AlphaGo event. Especially in autonomous mobile robots, the reinforcement learning approach can be applied to the mapless navigation problem. The Robot can complete the set tasks well and works well in different environments without maps and ready-made path plans. However, for reinforcement learning in general and mapless navigation based on reinforcement learning in particular, exploitation and exploration balance are issues that need to be carefully considered. Specifically, the fact that the agent (Robot) can discover and execute actions in a particular working environment plays a significant role in improving the performance of the reinforcement learning problem. By creating some noise during the convolutional neural network training, the above problem can be solved by some popular approaches today. With outstanding advantages compared to other approaches, the Boltzmann policy approach has been used in our problem. It helps the Robot explore more thoroughly in complex environments, and the policy is also more optimized.","2642-3901","978-89-93215-21-2","10.23919/ICCAS52745.2021.9649893","Ministry of Trade, Industry, and Energy(MOTIE); Korea Institute for Advancement of Technology(KIAT)(grant numbers:P0004631); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9649893","reinforcement learning;mapless navigation;exploitation;exploration balancing;Boltzmann policy","Training;Automation;Navigation;Reinforcement learning;Control systems;Mobile robots;Convolutional neural networks","Boltzmann machines;control engineering computing;convolutional neural nets;deep learning (artificial intelligence);intelligent robots;mobile robots;navigation;path planning;reinforcement learning;robot vision","mapless navigation problem;exploration balance;environment exploration;deep reinforcement learning;autonomous mobile robots;AlphaGo event;convolutional neural network training;Boltzmann policy approach","","","","9","","28 Dec 2021","","","IEEE","IEEE Conferences"
"Mapless Navigation with Deep Reinforcement Learning based on The Convolutional Proximal Policy Optimization Network","N. D. Toan; K. G. Woo","Dept. of Control and Robot Engineering Cheongju,Chungbuk,Korea; Dept. of Control and Robot Engineering Cheongju,Chungbuk,Korea","2021 IEEE International Conference on Big Data and Smart Computing (BigComp)","10 Mar 2021","2021","","","298","301","In recent years, mapless navigation with a deep reinforcement learning approach in Autonomous Mobile Robot has shown a considerable benefit in improving robot behavior flexibility. Specifically, the Robot adapts to complex constraints and performs well in various environments without the need for a predetermined map and route plan. However, several previous studies show a lack of stability in the training of deep reinforcement learning networks for mapless navigation. Moreover, the exploration and exploitation in a specific work environment play an essential role in improving mapless navigation performance, which needs to be carefully considered. From the aforementioned issues, as well as inspired by the Proximal Policy optimization algorithm has shown that it does not only evaluates the advantages and disadvantages of policy but also prevents the policy from changing too much after each time weight update. In this paper, we propose to build a Convolutional Proximal Policy optimization network for the Mapless Navigation problem. Furthermore, the use of Boltzmann's policy to help balance exploration and exploitation also contributes to the Robot's ability to explore more deeply in complex environments, and the performance of the mapless navigation problem is also significantly improved.","2375-9356","978-1-7281-8924-6","10.1109/BigComp51126.2021.00063","Technology Development; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9373298","reinforcement learning;mapless navigation;proximal policy optimization","Training;Navigation;Conferences;Reinforcement learning;Big Data;Mobile robots;Optimization","convolutional neural nets;deep learning (artificial intelligence);mobile robots;navigation;optimisation;path planning;robot vision","complex environments;mapless navigation problem;autonomous mobile robot;robot behavior flexibility;deep reinforcement learning networks;Boltzmann policy;robot ability;convolutional proximal policy optimization network;predetermined map route plan","","4","","13","IEEE","10 Mar 2021","","","IEEE","IEEE Conferences"
"Development of a New Intelligent Mobile Robot Path Planning Algorithm Based on Deep Reinforcement Learning Considering Pedestrian Traffic Rules","K. Kubota; K. Kobayashi; T. Ohkubo; K. Watanabe; N. J. Sebi; K. Tian; K. C. Cheok","Graduate School of Science and Engineering, Hosei University, Tokyo, Japan; Graduate School of Science and Engineering, Hosei University, Tokyo, Japan; Advanced Institute of Industrial Technology, Tokyo, Japan; Graduate School of Science and Engineering, Hosei University, Tokyo, Japan; Electrical & Computer Engineering Department, School of Engineering & Computer Science, Oakland University, Rochester, MI, USA; Electrical & Computer Engineering Department, School of Engineering & Computer Science, Oakland University, Rochester, MI, USA; Electrical & Computer Engineering Department, School of Engineering & Computer Science, Oakland University, Rochester, MI, USA","2022 61st Annual Conference of the Society of Instrument and Control Engineers (SICE)","6 Oct 2022","2022","","","628","632","In the near future in urban areas, people and mobile robots will coexist, and several strategies to avoid traffic accidents between human and mobile robot should be investigated. Among variety of research, most research focused on the collision avoidance with the obstacles and few research focused on pedestrians who walk following the traffic rules. If the mobile robot is trained how pedestrians walk under the traffic rule, we can achieve safer traffic for each other. This paper develops a new intelligent path planning algorithm to involve intelligence related to pedestrian traffic rules. We employ deep reinforcement learning for realizing the purpose. We use actual pedestrian walking trajectory data. The mobile robot agent learns pedestrian traffic rules by giving positive rewards for behaviors that conform to the pedestrian traffic rules and negative rewards for behaviors that do not conform. The proposed algorithm outputs translational speed and angular speed, considering the pedestrian’s relative positions, forwarding direction, and speed at the closest distance from the mobile robot. Based on learning results in the simulation environment, we confirmed that the mobile robot run in the manner that it understood the pedestrian traffic rules.","","978-4-9077-6478-4","10.23919/SICE56594.2022.9905845","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9905845","mobile robot;deep reinforcement learning;pedestrian traffic rules","Legged locomotion;Navigation;Instruments;Urban areas;Reinforcement learning;Probabilistic logic;Behavioral sciences","collision avoidance;deep learning (artificial intelligence);mobile robots;path planning;reinforcement learning;road traffic control","pedestrian traffic rules;deep reinforcement learning;obstacles;collision avoidance;intelligent mobile robot path planning algorithm;mobile robot run;traffic rule;traffic accidents","","","","6","","6 Oct 2022","","","IEEE","IEEE Conferences"
"Study on Deep Reinforcement Learning for Mobile Robots Flocking Control in Certainty Situations","P. Kheawkhem; I. Khuankrue","Dept. of Control System and Instrumentation Engineering, King Mongkut’s University of Technology Thonburi, Bangkok, Thailand; Dept. of Control System and Instrumentation Engineering, King Mongkut’s University of Technology Thonburi, Bangkok, Thailand","2022 19th International Conference on Electrical Engineering/Electronics, Computer, Telecommunications and Information Technology (ECTI-CON)","16 Jun 2022","2022","","","1","4","Mobile robots are the widely used machines that will be a part of life. It can easily be scaled to meet the requirements of human uses and can move to different target areas freely. However, mobile robots have a problem with mobility, which needs to respond to human activities and obstacles. Reinforcement learning (RT) is a part of machine learning, which enables the machine to learn by themselves. It can develop in a real-world environment without machine teaching or patterns. This paper proposed the study on the flocking control simulation, which avoids the obstacles. Mobile robots in simulation presented by using Multi-Agent Deep Deterministic Policy Gradient (MAD-DPG). The proposed algorithm, the deep reinforcement learning algorithm, is the main navigation of robots, which find the target, maintain distance between robots, and avoid collision with obstacles by learning features and characteristics with certainty environment, obstacle, robots, and target. On the simulation, the authors operate all of the positions in the environment, and robots speed in the environment as the state.","","978-1-6654-8584-5","10.1109/ECTI-CON54298.2022.9795641","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9795641","mobile robots;flocking control;multi-agent deep deterministic policy gradient;simulation;reinforcement learning","Navigation;Computational modeling;Education;Reinforcement learning;Telecommunications;Mobile robots;Collision avoidance","collision avoidance;control engineering computing;deep learning (artificial intelligence);mobile robots;multi-agent systems;multi-robot systems;reinforcement learning","mobile robots flocking control;machine learning;multiagent deep deterministic policy gradient;deep reinforcement learning;MAD-DPG","","1","","13","IEEE","16 Jun 2022","","","IEEE","IEEE Conferences"
"Autonomous UAV Navigation via Deep Reinforcement Learning Using PPO","B. Kabas","Elektrik-Elektronik Mühendisliği Bölümü, Abdullah Gül Üniversitesi, Kayseri, Türkiye","2022 30th Signal Processing and Communications Applications Conference (SIU)","29 Aug 2022","2022","","","1","4","In this paper, a computer vision-based navigation system is proposed for autonomous unmanned aerial vehicles (UAV). The proposed navigation system is based on a deep reinforcement learning-based high-level controller. In this paper, proximal policy optimization (PPO), which is a deep reinforcement learning method, is used to train the artificial neural net-work in an end-to-end way using a continuous reward function. The proposed method has been tested on images obtained from different modalities (RGB and depth) in simulation environments that are created using Unreal Engine and Microsoft AirSim. For the navigation problem that this work is concerned with, a success rate of 96% has been obtained by using RGB cameras. Since RGB cameras are lighter than depth cameras and the trained artificial neural network has a parameter number less than 170.000, the proposed method is suitable to be deployed in micro aerial vehicles. Code is publicly available*.","2165-0608","978-1-6654-5092-8","10.1109/SIU55565.2022.9864769","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9864769","deep reinforcement learning;autonomous navigation","Codes;Navigation;Atmospheric modeling;Reinforcement learning;Artificial neural networks;Signal processing;Cameras","aerospace simulation;autonomous aerial vehicles;deep learning (artificial intelligence);image colour analysis;mobile robots;navigation;optimisation;path planning;reinforcement learning;robot vision","Unreal Engine;Microsoft AirSim;depth cameras;RGB cameras;continuous reward function;artificial neural net-work;proximal policy optimization;deep reinforcement learning-based high-level controller;autonomous unmanned aerial vehicles;computer vision-based navigation system;PPO;autonomous UAV navigation;microaerial vehicles","","","","0","IEEE","29 Aug 2022","","","IEEE","IEEE Conferences"
"An Improvement on Mapless Navigation with Deep Reinforcement Learning: A Reward Shaping Approach","A. Alipanah; S. A. A. Moosavian","Faculty of Mechanical Engineering, K. N. Toosi University of Technology, Tehran, Iran; Faculty of Mechanical Engineering, K. N. Toosi University of Technology, Tehran, Iran","2022 10th RSI International Conference on Robotics and Mechatronics (ICRoM)","1 Feb 2023","2022","","","261","266","This paper presents an algorithm for mapless motion planning with deep reinforcement learning. Focusing mainly on reward shaping, possible reward functions for the navigation problem are investigated with the deep deterministic policy gradient method. Accordingly, a new reward function to improve the robot's performance is proposed. The input vector consists of 20 distance laser data, the relative goal position, and the last step velocity, while the output is the velocity command. The proposed method improves previous similar algorithms and shows an acceptable performance in a dynamic environment. The results reveal that the new reward function's effect on the algorithm generates smoother moves of the robot, which results in a 40 percent time reduction and a 30 percent total error reduction compared to the original method. Besides, the learning is completed much faster and takes only 5 hours, while the original method takes 16 hours. All the training and testing processes are conducted on a standard personal laptop.","2572-6889","978-1-6654-5452-0","10.1109/ICRoM57054.2022.10025241","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10025241","Motion planning;Navigation;Mobile robots;Collision avoidance;Reinforcement learning","Deep learning;Training;Portable computers;Navigation;Heuristic algorithms;Reinforcement learning;Task analysis","deep learning (artificial intelligence);gradient methods;mobile robots;navigation;path planning;reinforcement learning","deep deterministic policy gradient method;deep reinforcement learning;distance laser data;error reduction;mapless motion planning;mapless navigation;mobile robot navigation problem;relative goal position;reward function;reward shaping approach;step velocity;time 16.0 hour;time 5.0 hour;time reduction;velocity command","","","","17","IEEE","1 Feb 2023","","","IEEE","IEEE Conferences"
"Development of a Web-Based Education System for Deep Reinforcement Learning-Based Autonomous Mobile Robot Navigation in Real World","R. Suenaga; K. Morioka","Institute for Advanced Study of Mathematical Sciences, Meiji University, Tokyo, Japan; Institute for Advanced Study of Mathematical Sciences, Meiji University, Tokyo, Japan","2020 IEEE/SICE International Symposium on System Integration (SII)","9 Mar 2020","2020","","","1040","1045","The technology that combined deep reinforcement learning and robotics is increasing interests in recent years. Although several online tools for studying this technology can be found, it is difficult for beginners to develop actual robot systems for autonomous navigation in the real world. In this study, we developed a web-based educational system that is able to help users to study mobile robot navigation based on deep reinforcement learning and develop actual robot systems. The proposed web system provides the following functions: setting the parameters of reinforcement learning for autonomous robot navigation, running learning scripts and monitoring status of the learning. The first experiment that a user develops an actual robot system was performed. In the experiment, the user tuned parameters on the web page started the training and obtained action policy models. The experimental results indicate the proposed system can be applied to develop an actual autonomous navigation system. Also, the user could decide better parameters through the trial and error process using the proposed system.","2474-2325","978-1-7281-6667-4","10.1109/SII46433.2020.9025980","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9025980","","Navigation;Mobile robots;Machine learning;Training;Robot sensing systems;Servers","control engineering education;educational robots;Internet;learning (artificial intelligence);mobile robots;navigation;neural nets;path planning","robotics;learning scripts;deep reinforcement learning;autonomous mobile robot navigation;Web-based educational system","","","","10","IEEE","9 Mar 2020","","","IEEE","IEEE Conferences"
"Autonomous Robot Navigation in Dynamic Environment Using Deep Reinforcement Learning","X. Qiu; K. Wan; F. Li","China Aeronautical Radio Electronics, Research Institute, Science and Technology on Avionics Integration Laboratory, Shanghai, China; Northwestern Polytechnical University, School of Electronics and Information, Xi'an, China; Northwestern Polytechnical University, School of Electronics and Information, Xi'an, China","2019 IEEE 2nd International Conference on Automation, Electronics and Electrical Engineering (AUTEEE)","12 Mar 2020","2019","","","338","342","Compared to traditional control methods, deep reinforcement learning (DRL) has the ability to learn how to solve complex tasks in a dynamic environment simply by collecting experience. In this paper, we study the application of DRL method in robotic autonomous control with detection capability in simulated dynamic environment. More specifically, we have adopted Deep Q Network (DQN), double DQN and dueling DQN algorithms in DRL. As with fixed reward settings, these original DRL algorithms do not perform well while navigating a robot in dynamic environment. To address the problems, we designed a novel reward shaping method and conducted a series of experiment with all three improved DRL algorithms. The results show that the new reward shaping method can significantly improve the DRL performance when they are applied in robot navigation settings.","","978-1-7281-5030-7","10.1109/AUTEEE48671.2019.9033166","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9033166","robot navigation;deep reinforcement learning;deep Q network;reward shaping","Navigation;Heuristic algorithms;Machine learning;Robot sensing systems;Neural networks;Collision avoidance","learning (artificial intelligence);mobile robots;path planning","autonomous robot navigation;deep reinforcement learning;traditional control methods;DRL method;robotic autonomous control;simulated dynamic environment;deep Q network;double DQN;dueling DQN algorithms;fixed reward settings;original DRL algorithms;reward shaping method;improved DRL algorithms;DRL performance;robot navigation settings","","3","","21","IEEE","12 Mar 2020","","","IEEE","IEEE Conferences"
"Path planning of mobile robot based on deep reinforcement learning with transfer learning strategy","J. Zhu; C. Yang; Z. Liu; C. Yang","School of Automation and Electrical Engineering, Linyi university, Linyi, China; School of Information Science and Engineering, Linyi university, Linyi, China; School of Automation and Electrical Engineering, Linyi university, Linyi, China; School of Information Science and Engineering, Linyi university, Linyi, China","2022 37th Youth Academic Annual Conference of Chinese Association of Automation (YAC)","30 Jan 2023","2022","","","1242","1246","Under complex environments, mobile robots can decision-making, autonomous learning, intelligent obstacle avoidance, and complete the task from start point to endpoint. This paper designed the mobile robot, excluding planners and unknown maps, which can successfully reach the target by autonomously learning and navigating in the unknown environment. By applying deep reinforcement learning to the path planning of mobile robots, the robot can collect data and conduct training on its own, and improve it autonomously without manual supervision. Consequently, it can complete the path planning task. The application of transfer learning improves the adaptive efficiency of the mobile robot to the environment. Finally, the results are verified by comparative experiments in three simulation environments.","","978-1-6654-6536-6","10.1109/YAC57282.2022.10023708","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10023708","deep reinforcement learning;mobile robots;obstacle avoidance","Training;Deep learning;Navigation;Transfer learning;Supervised learning;Reinforcement learning;Path planning","collision avoidance;learning (artificial intelligence);mobile robots;path planning","autonomous learning;deep reinforcement learning;mobile robot;path planning task;transfer learning strategy","","","","21","IEEE","30 Jan 2023","","","IEEE","IEEE Conferences"
